mass,glycan
162.052824,Hex(1)
203.07937,HexNAc(1)
324.105648,Hex(2)
349.137279,HexNAc(1)Fuc(1)
406.15874,HexNAc(2)
486.158472,Hex(3)
552.216649,HexNAc(2)Fuc(1)
568.21156,HexNAc(2)Hex(1)
648.211296,Hex(4)
714.269469,HexNAc(2)Hex(1)Fuc(1)
730.26438,HexNAc(2)Hex(2)
810.26412,Hex(5)
876.322289,HexNAc(2)Hex(2)Fuc(1)
892.3172,HexNAc(2)Hex(3)
972.316944,Hex(6)
1038.375109,HexNAc(2)Hex(3)Fuc(1)
1054.37002,HexNAc(2)Hex(4)
1095.39657,HexNAc(3)Hex(3)
1134.369768,Hex(7)
1200.427929,HexNAc(2)Hex(4)Fuc(1)
1216.42284,HexNAc(2)Hex(5)
1241.454479,HexNAc(3)Hex(3)Fuc(1)
1257.44939,HexNAc(3)Hex(4)
1296.422592,Hex(8)
1298.47594,HexNAc(4)Hex(3)
1362.480749,HexNAc(2)Hex(5)Fuc(1)
1378.47566,HexNAc(2)Hex(6)
1403.507299,HexNAc(3)Hex(4)Fuc(1)
1419.50221,HexNAc(3)Hex(5)
1444.533849,HexNAc(4)Hex(3)Fuc(1)
1458.44199,HexNAc(2)Hex(6)Phospho(1)
1458.475416,Hex(9)
1460.52876,HexNAc(4)Hex(4)
1501.55531,HexNAc(5)Hex(3)
1524.533569,HexNAc(2)Hex(6)Fuc(1)
1540.52848,HexNAc(2)Hex(7)
1548.544807,HexNAc(3)Hex(4)NeuAc(1)
1549.565208,HexNAc(3)Hex(4)Fuc(2)
1564.539746,HexNAc(3)Hex(4)NeuGc(1)
1565.560119,HexNAc(3)Hex(5)Fuc(1)
1581.55503,HexNAc(3)Hex(6)
1589.571357,HexNAc(4)Hex(3)NeuAc(1)
1590.591782,HexNAc(4)Hex(3)Fuc(2)
1606.586669,HexNAc(4)Hex(4)Fuc(1)
1620.52824,Hex(10)
1622.58158,HexNAc(4)Hex(5)
1647.613219,HexNAc(5)Hex(3)Fuc(1)
1663.60813,HexNAc(5)Hex(4)
1686.586389,HexNAc(2)Hex(7)Fuc(1)
1694.602716,HexNAc(3)Hex(4)Fuc(1)NeuAc(1)
1702.5813,HexNAc(2)Hex(8)
1704.63468,HexNAc(6)Hex(3)
1710.597627,HexNAc(3)Hex(5)NeuAc(1)
1710.597655,HexNAc(3)Hex(4)Fuc(1)NeuGc(1)
1726.59257,HexNAc(3)Hex(5)NeuGc(1)
1727.612939,HexNAc(3)Hex(6)Fuc(1)
1743.607887,HexNAc(3)Hex(7)
1751.624177,HexNAc(4)Hex(4)NeuAc(1)
1752.644578,HexNAc(4)Hex(4)Fuc(2)
1767.619119,HexNAc(4)Hex(4)NeuGc(1)
1768.639489,HexNAc(4)Hex(5)Fuc(1)
1784.6344,HexNAc(4)Hex(6)
1793.671128,HexNAc(5)Hex(3)Fuc(2)
1809.666039,HexNAc(5)Hex(4)Fuc(1)
1825.66095,HexNAc(5)Hex(5)
1840.660625,HexNAc(3)Hex(4)Fuc(2)NeuAc(1)
1850.692589,HexNAc(6)Hex(3)Fuc(1)
1856.655536,HexNAc(3)Hex(5)Fuc(1)NeuAc(1)
1864.63412,HexNAc(2)Hex(9)
1866.6875,HexNAc(6)Hex(4)
1872.650447,HexNAc(3)Hex(6)NeuAc(1)
1872.650479,HexNAc(3)Hex(5)Fuc(1)NeuGc(1)
1888.645394,HexNAc(3)Hex(6)NeuGc(1)
1889.665796,HexNAc(3)Hex(7)Fuc(1)
1897.682086,HexNAc(4)Hex(4)Fuc(1)NeuAc(1)
1907.71405,HexNAc(7)Hex(3)
1913.676997,HexNAc(4)Hex(5)NeuAc(1)
1913.677028,HexNAc(4)Hex(4)Fuc(1)NeuGc(1)
1914.697398,HexNAc(4)Hex(5)Fuc(2)
1929.671943,HexNAc(4)Hex(5)NeuGc(1)
1930.692309,HexNAc(4)Hex(6)Fuc(1)
1938.708636,HexNAc(5)Hex(3)Fuc(1)NeuAc(1)
1946.68722,HexNAc(4)Hex(7)
1954.703547,HexNAc(5)Hex(4)NeuAc(1)
1955.723948,HexNAc(5)Hex(4)Fuc(2)
1971.718859,HexNAc(5)Hex(5)Fuc(1)
1987.71377,HexNAc(5)Hex(6)
1996.750498,HexNAc(6)Hex(3)Fuc(2)
2012.745409,HexNAc(6)Hex(4)Fuc(1)
2018.708356,HexNAc(3)Hex(6)Fuc(1)NeuAc(1)
2026.68694,HexNAc(2)Hex(10)
2028.74032,HexNAc(6)Hex(5)
2034.703303,HexNAc(3)Hex(6)Fuc(1)NeuGc(1)
2053.771959,HexNAc(7)Hex(3)Fuc(1)
2059.734906,HexNAc(4)Hex(5)Fuc(1)NeuAc(1)
2069.76687,HexNAc(7)Hex(4)
2075.729817,HexNAc(4)Hex(6)NeuAc(1)
2075.729852,HexNAc(4)Hex(5)Fuc(1)NeuGc(1)
2076.750218,HexNAc(4)Hex(6)Fuc(2)
2091.724767,HexNAc(4)Hex(6)NeuGc(1)
2092.745129,HexNAc(4)Hex(7)Fuc(1)
2100.761456,HexNAc(5)Hex(4)Fuc(1)NeuAc(1)
2108.740084,HexNAc(4)Hex(8)
2110.79342,HexNAc(8)Hex(3)
2116.756367,HexNAc(5)Hex(5)NeuAc(1)
2117.776768,HexNAc(5)Hex(5)Fuc(2)
2132.751316,HexNAc(5)Hex(5)NeuGc(1)
2133.771679,HexNAc(5)Hex(6)Fuc(1)
2141.788006,HexNAc(6)Hex(3)Fuc(1)NeuAc(1)
2147.750952,HexNAc(3)Hex(5)Fuc(1)NeuAc(2)
2149.766633,HexNAc(5)Hex(7)
2157.782917,HexNAc(6)Hex(4)NeuAc(1)
2158.803318,HexNAc(6)Hex(4)Fuc(2)
2174.798229,HexNAc(6)Hex(5)Fuc(1)
2188.73976,HexNAc(2)Hex(11)
2190.79314,HexNAc(6)Hex(6)
2204.772413,HexNAc(4)Hex(5)NeuAc(2)
2205.792815,HexNAc(4)Hex(5)Fuc(2)NeuAc(1)
2215.824779,HexNAc(7)Hex(4)Fuc(1)
2220.76736,HexNAc(4)Hex(5)NeuAc(1)NeuGc(1)
2221.787726,HexNAc(4)Hex(6)Fuc(1)NeuAc(1)
2221.787761,HexNAc(4)Hex(5)Fuc(2)NeuGc(1)
2236.762274,HexNAc(4)Hex(5)NeuGc(2)
2237.782637,HexNAc(4)Hex(7)NeuAc(1)
2237.782676,HexNAc(4)Hex(6)Fuc(1)NeuGc(1)
2245.798963,HexNAc(5)Hex(4)NeuAc(2)
2254.797993,HexNAc(4)Hex(8)Fuc(1)
2256.851329,HexNAc(8)Hex(3)Fuc(1)
2262.814276,HexNAc(5)Hex(5)Fuc(1)NeuAc(1)
2263.834677,HexNAc(5)Hex(5)Fuc(3)
2272.84624,HexNAc(8)Hex(4)
2278.809187,HexNAc(5)Hex(6)NeuAc(1)
2278.809225,HexNAc(5)Hex(5)Fuc(1)NeuGc(1)
2279.829588,HexNAc(5)Hex(6)Fuc(2)
2294.80414,HexNAc(5)Hex(6)NeuGc(1)
2295.824542,HexNAc(5)Hex(7)Fuc(1)
2311.81941,HexNAc(5)Hex(8)
2313.87279,HexNAc(9)Hex(3)
2320.856138,HexNAc(6)Hex(5)Fuc(2)
2336.851049,HexNAc(6)Hex(6)Fuc(1)
2350.79258,HexNAc(2)Hex(12)
2350.830322,HexNAc(4)Hex(5)Fuc(1)NeuAc(2)
2351.850724,HexNAc(4)Hex(5)Fuc(3)NeuAc(1)
2352.84596,HexNAc(6)Hex(7)
2366.825269,HexNAc(4)Hex(5)Fuc(1)NeuAc(1)NeuGc(1)
2382.820183,HexNAc(4)Hex(5)Fuc(1)NeuGc(2)
2391.856872,HexNAc(5)Hex(4)Fuc(1)NeuAc(2)
2393.87251,HexNAc(7)Hex(6)
2407.851783,HexNAc(5)Hex(5)NeuAc(2)
2408.872185,HexNAc(5)Hex(5)Fuc(2)NeuAc(1)
2424.867096,HexNAc(5)Hex(6)Fuc(1)NeuAc(1)
2425.887497,HexNAc(5)Hex(6)Fuc(3)
2432.883422,HexNAc(6)Hex(3)Fuc(1)NeuAc(2)
2434.89906,HexNAc(8)Hex(5)
2440.862049,HexNAc(5)Hex(6)Fuc(1)NeuGc(1)
2440.86205,HexNAc(5)Hex(7)NeuAc(1)
2441.882451,HexNAc(5)Hex(7)Fuc(2)
2456.856964,HexNAc(5)Hex(7)NeuGc(1)
2457.877319,HexNAc(5)Hex(8)Fuc(1)
2459.930699,HexNAc(9)Hex(3)Fuc(1)
2465.893646,HexNAc(6)Hex(5)Fuc(1)NeuAc(1)
2466.914047,HexNAc(6)Hex(5)Fuc(3)
2473.872281,HexNAc(5)Hex(9)
2475.92561,HexNAc(9)Hex(4)
2481.888557,HexNAc(6)Hex(6)NeuAc(1)
2482.908958,HexNAc(6)Hex(6)Fuc(2)
2496.888231,HexNAc(4)Hex(5)Fuc(2)NeuAc(2)
2498.903915,HexNAc(6)Hex(7)Fuc(1)
2514.89883,HexNAc(6)Hex(8)
2539.930419,HexNAc(7)Hex(6)Fuc(1)
2553.909692,HexNAc(5)Hex(5)Fuc(1)NeuAc(2)
2555.92533,HexNAc(7)Hex(7)
2569.904603,HexNAc(5)Hex(6)NeuAc(2)
2570.925005,HexNAc(5)Hex(6)Fuc(2)NeuAc(1)
2571.945406,HexNAc(5)Hex(6)Fuc(4)
2580.956969,HexNAc(8)Hex(5)Fuc(1)
2586.919916,HexNAc(5)Hex(7)Fuc(1)NeuAc(1)
2586.919958,HexNAc(5)Hex(6)Fuc(2)NeuGc(1)
2587.94036,HexNAc(5)Hex(7)Fuc(3)
2601.894471,HexNAc(5)Hex(6)NeuGc(2)
2602.914873,HexNAc(5)Hex(7)Fuc(1)NeuGc(1)
2602.914874,HexNAc(5)Hex(8)NeuAc(1)
2603.935275,HexNAc(5)Hex(8)Fuc(2)
2611.951555,HexNAc(6)Hex(5)Fuc(2)NeuAc(1)
2618.909788,HexNAc(5)Hex(8)NeuGc(1)
2619.930139,HexNAc(5)Hex(9)Fuc(1)
2621.983519,HexNAc(9)Hex(4)Fuc(1)
2627.946466,HexNAc(6)Hex(6)Fuc(1)NeuAc(1)
2642.94614,HexNAc(4)Hex(5)Fuc(3)NeuAc(2)
2643.941377,HexNAc(6)Hex(7)NeuAc(1)
2644.961778,HexNAc(6)Hex(7)Fuc(2)
2660.956739,HexNAc(6)Hex(8)Fuc(1)
